Intuit ID,Customer Name,Billing Address, Company Name, Name, Primary Email Address,
1,Amy's Bird Sanctuary,"4581 Finch St. Bayshore",Amy's Bird Sanctuary,"Lauterbach,Amy", Birds@Intuit.com,
2,Bill's Windsurf Shop,"12 Ocean Dr. Half Moon Bay",Bill's Windsurf Shop,"Lucchini,Bill", Surf@Intuit.com,
3,Cool Cars,"65 Ocean Dr. Half Moon Bay",Cool Cars,"Pariente,Grace", Cool_Cars@intuit.com,
4,,"321 Channing Palo Alto",Diego Rodriguez,"Rodriguez,Diego", Diego@Rodriguez.com,
5,Dukes Basketball Camp,"25 Court St. Tucson",Dukes Basketball Camp,"Dukes,Peter", Dukes_bball@intuit.com,
6,," ",Dylan Sollfrank,"Sollfrank,Dylan", ,
7,Freeman Sporting Goods,"370 Easy St. Middlefield",Freeman Sporting Goods,"Freeman,Kirby", Sporting_goods@intuit.com,
8,Freeman Sporting Goods,"370 Easy St. Middlefield",0969 Ocean View Road,"Tillou,Sasha", Sporting_goods@intuit.com,
9,Freeman Sporting Goods,"370 Easy St. Middlefield",55 Twin Lane,",Amelia", Sporting_goods@intuit.com,
10,,"1987 Main St. Middlefield",Geeta Kalapatapu,"Kalapatapu,Geeta", Geeta@Kalapatapu.com,
11,Gevelber Photography,"1045 Main St. Half Moon Bay",Gevelber Photography,"Gevelber,Lisa", Photography@intuit.com,
12,Jeff's Jalopies,"12 Willow Rd. Menlo Park",Jeff's Jalopies,"Chin,Jeff", Jalopies@intuit.com,
13,,"85 Pine St. Menlo Park",John Melton,"Melton,John", John@Melton.com,
14,,"45 First St. Menlo Park",Kate Whelan,"Whelan,Kate", Kate@Whelan.com,
16,Kookies by Kathy,"789 Sugar Lane Middlefield",Kookies by Kathy,"Kuplis,Kathy", qbwebsamplecompany@yahoo.com,
17,,"36 Willow Rd Menlo Park",Mark Cho,"Cho,Mark", Mark@Cho.com,
18,Paulsen Medical Supplies,"900 Main St. Middlefield",Paulsen Medical Supplies,"Paulsen,Kathy", Medical@intuit.com,
15,Pye's Cakes,"350 Mountain View Dr. South Orange",Pye's Cakes,"Pye,Karen", pyescakes@intuit.com,
19,Rago Travel Agency,"753 Cedar St. Bayshore",Rago Travel Agency,"Rago,Jeff", Rago_Travel@intuit.com,
20,Red Rock Diner,"500 Red Rock Rd. Bayshore",Red Rock Diner,"Martini,Stephanie", qbwebsamplecompany@yahoo.com,
21,,"847 California Ave. San Jose",Rondonuwu Fruit and Vegi,"and Vegi,Rondonuwu", Tony@Rondonuwu.com,
22,,"77 University Palo Alto",Shara Barnett,"Barnett,Shara", Shara@Barnett.com,
23,Barnett Design,"19 Main St. Middlefield",Barnett Design,"Barnett,Shara", Design@intuit.com,
24,Sonnenschein Family Store,"5647 Cypress Hill Ave. Middlefield",Sonnenschein Family Store,"Sonnenschein,Russ", Familiystore@intuit.com,
25,Sushi by Katsuyuki,"898 Elm St. Maplewood",Sushi by Katsuyuki,"Yanagawa,Katsuyuki", Sushi@intuit.com,
26,,"78 First St. Monlo Park",Travis Waldron,"Waldron,Travis", Travis@Waldron.com,
27,Video Games by Dan,"202 Main St. Tucson",Video Games by Dan,"Wilks,Dan", Videogames@intuit.com,
28,Wedding Planning by Whitney,"135 Broadway Menlo Park",Wedding Planning by Whitney,"Brewer,Whitney", Dream_Wedding@intuit.com,
29,Weiskopf Consulting,"45612 Main St. Bayshore",Weiskopf Consulting,"Weiskopf,Nicola", Consulting@intuit.com,
